Time,Fp1-CPz,Fp2-CPz,F3-CPz,F4-CPz,F7-CPz,F8-CPz,C3-CPz,C4-CPz,T7-CPz,T8-CPz,P3-CPz,P4-CPz,P7-CPz,P8-CPz,O1-CPz,O2-CPz,Fz-CPz,Cz-CPz,Pz-CPz
2019.07.22 14:01:19.224,-21.913,-18.078,-19.308,-13.968,-11.385,-15.067,5.364,-3.924,10.020,-8.366,9.104,-25.009,-26.280,-1.935,-34.138,-46.929,-23.227,-19.235,-28.565
2019.07.22 14:01:19.228,-36.499,-14.711,-38.711,-31.769,-21.234,-26.334,14.629,6.049,19.839,-4.535,22.015,-3.035,-19.576,27.285,-29.144,-11.240,-39.352,-29.012,-25.819
2019.07.22 14:01:19.232,-30.989,-1.556,-36.486,-29.104,-17.631,-17.320,14.208,8.257,21.890,4.716,22.328,14.788,-4.945,40.398,-11.939,17.604,-35.856,-23.073,-11.243
2019.07.22 14:01:19.236,-11.570,12.777,-16.643,-10.511,-3.024,5.597,4.809,1.677,17.220,14.584,11.891,19.891,9.804,34.486,8.389,26.038,-17.147,-6.504,6.282
2019.07.22 14:01:19.240,7.344,20.164,5.781,10.164,12.710,27.443,-6.976,-8.184,10.495,19.675,-1.078,12.288,16.584,18.419,20.664,14.719,3.318,9.227,16.314
2019.07.22 14:01:19.244,13.958,18.224,15.897,20.034,19.749,35.493,-13.885,-13.836,6.305,17.404,-8.459,-0.419,12.310,5.372,19.015,-3.937,12.955,14.750,14.083
2019.07.22 14:01:19.248,6.923,10.994,9.221,15.814,15.225,27.764,-13.263,-11.617,6.075,9.499,-7.880,-9.160,0.657,3.165,6.495,-15.873,8.500,9.108,3.315
2019.07.22 14:01:19.252,-5.408,4.958,-6.486,4.594,4.406,13.043,-8.391,-4.180,7.790,0.711,-3.361,-9.777,-10.824,9.685,-7.581,-15.193,-3.110,-0.678,-7.213
2019.07.22 14:01:19.256,-12.868,3.873,-18.478,-3.117,-4.248,3.081,-5.179,2.081,8.337,-4.274,-1.000,-5.009,-15.961,16.243,-14.362,-6.679,-11.405,-5.904,-10.443
2019.07.22 14:01:19.260,-11.639,6.418,-19.125,-2.018,-5.857,3.523,-7.213,2.313,6.248,-3.585,-3.636,-1.129,-13.712,15.378,-11.185,-0.123,-10.820,-3.013,-5.808
