Time,Fp1-CPz,Fp2-CPz,F3-CPz,F4-CPz,F7-CPz,F8-CPz,C3-CPz,C4-CPz,T7-CPz,T8-CPz,P3-CPz,P4-CPz,P7-CPz,P8-CPz,O1-CPz,O2-CPz,Fz-CPz,Cz-CPz,Pz-CPz
2019.07.22 14:02:33.576,1.170,-30.860,-41.600,-49.254,-31.732,-54.173,32.806,17.275,13.927,-19.622,28.459,13.802,-17.907,47.436,-23.797,46.123,-38.763,-33.516,-23.993
2019.07.22 14:02:33.580,29.902,-36.243,-24.182,-38.106,-15.032,-49.007,22.793,6.781,7.130,-26.589,14.465,8.728,-14.771,32.675,-14.964,33.636,-26.086,-19.965,-15.822
2019.07.22 14:02:33.584,61.852,-32.745,1.357,-16.359,6.494,-28.335,5.668,-4.375,-2.899,-24.732,-3.333,2.007,-7.944,9.959,-0.253,12.749,-5.446,-0.786,-3.214
2019.07.22 14:02:33.588,81.370,-26.838,20.057,2.767,21.585,-7.417,-10.155,-10.470,-10.491,-17.663,-15.638,-2.408,-2.011,-7.542,11.572,-4.056,11.715,12.921,5.986
2019.07.22 14:02:33.592,81.828,-24.087,23.371,9.998,24.412,1.248,-17.629,-9.346,-11.365,-10.914,-17.156,-2.281,0.504,-11.206,15.212,-8.159,18.017,15.009,7.148
2019.07.22 14:02:33.596,68.894,-25.727,14.115,5.651,17.689,-4.154,-15.514,-3.504,-5.619,-8.248,-9.688,1.463,0.365,-2.396,11.807,-0.134,14.410,7.833,1.673
2019.07.22 14:02:33.600,55.108,-28.935,2.839,-2.141,9.644,-15.273,-8.388,2.128,2.533,-9.649,-0.091,5.671,0.207,9.577,7.005,11.746,8.061,-0.548,-4.721
2019.07.22 14:02:33.604,50.394,-30.020,-0.927,-4.588,7.542,-21.319,-2.567,3.895,7.981,-12.197,5.022,7.407,1.930,14.943,6.052,18.217,6.065,-2.940,-6.656
2019.07.22 14:02:33.608,55.726,-27.672,4.489,1.102,12.780,-17.457,-1.353,1.768,8.326,-12.807,3.708,5.990,5.121,10.460,9.923,15.606,10.177,1.912,-2.996
2019.07.22 14:02:33.612,64.186,-23.775,12.980,10.565,20.924,-7.505,-3.243,-1.273,5.150,-10.588,-0.864,3.133,7.665,0.785,15.273,7.530,16.437,9.379,2.871
2019.07.22 14:02:33.616,67.676,-21.481,16.754,16.856,26.038,0.404,-4.106,-2.040,2.205,-7.112,-3.801,1.299,7.769,-6.126,17.768,1.050,19.400,13.495,6.209
2019.07.22 14:02:33.620,63.498,-22.456,12.963,16.504,25.454,0.915,-1.182,0.297,2.201,-4.697,-2.632,1.738,5.527,-5.442,15.733,0.848,17.025,11.924,4.772
2019.07.22 14:02:33.624,55.769,-25.606,5.487,12.044,21.291,-4.621,4.522,3.844,4.815,-4.347,1.035,3.731,2.704,1.402,11.154,6.067,12.183,7.368,0.247
2019.07.22 14:02:33.628,51.226,-28.160,0.980,9.309,17.973,-10.132,9.237,5.891,7.353,-5.073,3.330,5.487,1.047,8.766,7.520,11.799,9.845,4.696,-3.559
2019.07.22 14:02:33.632,53.417,-27.964,3.038,12.189,18.267,-10.400,9.768,5.289,7.248,-4.992,1.542,5.730,0.726,11.757,6.658,13.406,12.646,6.593,-3.985
2019.07.22 14:02:33.636,60.095,-25.057,9.523,19.381,21.255,-5.244,6.243,3.296,4.214,-3.089,-3.749,4.614,0.295,9.764,7.337,9.880,18.655,11.468,-1.438
2019.07.22 14:02:33.640,65.541,-21.363,14.964,25.677,23.664,0.954,2.059,2.310,0.347,-0.077,-9.346,3.307,-1.800,6.035,6.704,3.814,23.056,15.144,1.420
2019.07.22 14:02:33.644,65.423,-18.992,15.498,26.373,23.070,3.477,1.216,3.730,-1.702,2.323,-12.054,2.779,-5.545,4.257,3.104,-1.393,22.117,14.553,2.247
2019.07.22 14:02:33.648,60.035,-18.681,11.896,20.999,20.058,1.288,5.292,6.810,-0.816,2.962,-10.931,2.929,-9.049,5.422,-2.252,-4.309,16.047,10.199,0.996
2019.07.22 14:02:33.652,53.520,-19.544,8.255,13.372,17.561,-2.515,12.417,9.398,1.935,2.265,-7.493,2.802,-9.920,7.525,-6.195,-5.896,8.542,5.414,-0.329
2019.07.22 14:02:33.656,50.159,-20.120,7.871,8.268,18.151,-3.822,18.822,9.823,4.430,1.800,-4.072,1.609,-7.202,7.933,-6.207,-7.650,3.665,3.335,0.293
2019.07.22 14:02:33.660,51.047,-19.649,10.175,7.694,21.720,-1.195,21.506,8.228,5.266,2.829,-1.948,-0.404,-2.218,5.970,-2.461,-9.535,2.815,4.338,3.009
2019.07.22 14:02:33.664,53.741,-18.529,11.421,9.815,25.541,3.140,19.883,6.286,4.662,5.118,-0.783,-2.013,2.391,3.403,2.412,-9.762,4.169,6.053,5.992
2019.07.22 14:02:33.668,54.772,-17.740,8.315,11.103,26.548,5.593,15.427,5.653,3.896,7.065,0.469,-1.964,4.650,2.608,5.545,-6.585,4.733,5.711,7.144
2019.07.22 14:02:33.672,52.614,-17.885,1.230,9.587,23.853,4.564,10.010,6.579,4.000,7.041,2.281,0.020,4.628,4.312,6.082,-0.341,2.997,2.621,5.972
2019.07.22 14:02:33.676,48.679,-18.699,-5.887,6.408,19.441,1.834,4.556,7.869,4.952,4.848,4.122,2.999,4.119,7.013,5.609,6.273,-0.053,-1.359,3.981
2019.07.22 14:02:33.680,45.818,-19.310,-8.762,4.554,16.585,0.925,-0.991,8.125,5.993,2.067,5.102,5.531,4.968,8.515,6.506,10.073,-2.164,-3.567,3.291
2019.07.22 14:02:33.684,45.913,-18.903,-6.307,6.141,17.408,4.030,-6.706,7.082,6.589,0.995,4.926,6.744,7.485,8.050,9.756,9.878,-1.956,-2.829,4.751
2019.07.22 14:02:33.688,48.590,-17.217,-1.374,10.631,21.505,10.215,-11.889,5.841,7.030,2.975,4.157,6.907,10.241,6.977,14.058,7.461,-0.023,-0.280,7.229
2019.07.22 14:02:33.692,51.865,-14.590,1.762,15.398,26.531,16.293,-15.276,5.814,8.076,7.364,3.597,7.084,11.331,7.442,16.911,6.121,1.804,1.845,8.650
2019.07.22 14:02:33.696,53.814,-11.741,0.868,17.913,29.989,19.384,-16.028,7.381,10.035,11.875,3.473,8.191,9.971,10.214,16.625,8.016,2.167,2.208,7.801
2019.07.22 14:02:33.700,53.716,-9.544,-2.812,17.584,30.672,18.871,-14.518,9.446,12.172,13.967,3.242,10.193,7.043,13.687,13.514,12.414,1.250,1.347,5.313
2019.07.22 14:02:33.704,51.873,-8.915,-6.213,15.776,28.777,16.239,-12.172,10.282,13.054,12.298,2.196,12.026,4.195,14.960,9.377,16.237,0.336,0.876,2.995
2019.07.22 14:02:33.708,48.612,-10.641,-7.473,14.219,24.951,13.285,-10.495,8.900,11.536,7.309,0.233,12.279,2.331,12.111,5.873,16.410,0.403,1.795,2.206
2019.07.22 14:02:33.712,43.588,-15.063,-7.565,13.358,19.403,10.531,-10.140,5.770,7.544,0.735,-1.968,10.129,0.845,5.774,3.306,12.139,1.114,3.522,2.731
2019.07.22 14:02:33.716,36.060,-21.759,-9.141,12.048,11.905,7.253,-10.754,2.324,2.035,-5.435,-3.531,5.902,-1.720,-1.241,0.844,5.402,1.087,4.480,3.134
2019.07.22 14:02:33.720,25.782,-29.536,-13.778,8.729,2.560,2.878,-11.564,-0.235,-3.726,-9.814,-4.124,0.957,-6.164,-5.919,-2.153,-0.554,-0.866,3.621,2.197
2019.07.22 14:02:33.724,13.639,-36.895,-20.175,2.947,-7.528,-1.767,-12.035,-1.744,-8.861,-11.892,-4.122,-3.010,-11.579,-6.977,-5.032,-3.439,-4.672,1.445,0.121
