Time,Fp1-CPz,Fp2-CPz,F3-CPz,F4-CPz,F7-CPz,F8-CPz,C3-CPz,C4-CPz,T7-CPz,T8-CPz,P3-CPz,P4-CPz,P7-CPz,P8-CPz,O1-CPz,O2-CPz,Fz-CPz,Cz-CPz,Pz-CPz
2019.07.22 14:07:33.776,53.216,19.455,51.024,52.346,21.006,40.234,-37.742,-21.120,-31.062,-3.118,-17.551,2.408,19.297,-77.519,30.233,-7.887,38.426,41.626,37.637
2019.07.22 14:07:33.780,42.135,10.986,36.146,37.457,16.317,26.989,-16.490,-16.894,-26.956,-6.829,-11.753,-0.750,15.653,-63.354,24.335,-6.747,23.673,30.696,25.053
2019.07.22 14:07:33.784,16.227,-4.770,10.374,10.071,0.602,-0.090,8.255,-8.083,-16.899,-12.884,-1.741,-6.245,6.346,-33.306,8.613,-7.134,0.702,10.861,3.385
2019.07.22 14:07:33.788,-8.807,-18.222,-11.989,-14.287,-16.448,-25.936,23.378,-0.421,-7.041,-18.767,7.338,-9.986,-2.029,-4.787,-5.925,-6.991,-18.251,-6.003,-14.437
2019.07.22 14:07:33.792,-20.255,-22.368,-20.212,-23.255,-25.465,-37.672,22.627,1.999,-2.952,-22.176,10.859,-9.531,-4.999,7.393,-11.183,-5.075,-24.491,-11.137,-19.469
2019.07.22 14:07:33.796,-16.600,-17.257,-14.073,-15.617,-23.773,-32.791,10.165,-0.449,-6.027,-22.266,7.696,-5.388,-2.924,0.984,-7.100,-1.678,-18.418,-4.445,-12.271
2019.07.22 14:07:33.800,-6.876,-9.106,-2.910,-0.967,-16.471,-19.483,-3.403,-3.690,-13.047,-19.918,0.728,-0.109,0.183,-13.454,-0.258,1.773,-8.327,6.459,-1.211
2019.07.22 14:07:33.804,-2.362,-5.048,2.062,8.237,-11.724,-9.442,-9.083,-3.457,-18.957,-16.911,-5.376,3.905,0.424,-21.593,2.288,3.834,-3.686,12.532,4.623
2019.07.22 14:07:33.808,-7.632,-7.775,-3.919,5.855,-14.226,-9.072,-5.366,1.357,-20.521,-14.656,-7.351,6.080,-2.815,-16.227,-1.309,4.012,-8.206,9.838,2.123
2019.07.22 14:07:33.812,-17.908,-14.112,-16.392,-4.372,-21.959,-15.762,2.167,8.117,-18.125,-13.420,-5.179,7.613,-6.734,-1.673,-6.934,2.964,-17.833,1.536,-4.514
2019.07.22 14:07:33.816,-24.122,-18.264,-26.002,-12.952,-28.485,-21.454,6.443,12.827,-14.657,-12.545,-1.420,9.964,-7.806,11.038,-8.711,1.940,-24.684,-5.618,-8.248
2019.07.22 14:07:33.820,-20.861,-16.733,-25.999,-12.563,-28.478,-19.934,4.764,13.332,-12.756,-11.330,1.187,13.317,-4.806,13.550,-4.203,1.988,-23.369,-6.937,-5.308
2019.07.22 14:07:33.824,-10.488,-10.893,-16.934,-3.310,-21.841,-11.699,0.317,10.719,-12.773,-9.786,1.844,16.286,0.345,6.376,3.802,3.425,-14.672,-3.010,2.057
2019.07.22 14:07:33.828,-0.447,-5.384,-5.351,8.374,-13.264,-2.810,-1.297,7.990,-12.934,-8.593,1.978,17.043,4.430,-2.633,10.077,5.768,-4.122,1.679,8.042
2019.07.22 14:07:33.832,3.336,-4.062,1.810,15.542,-7.997,0.701,2.876,7.379,-11.223,-8.367,3.687,14.827,5.700,-5.475,11.547,7.989,2.775,2.991,8.419
2019.07.22 14:07:33.836,1.040,-7.048,2.257,16.091,-7.655,-2.136,10.860,8.667,-7.204,-8.894,7.805,10.592,5.138,-0.443,9.594,8.953,4.476,0.431,3.869
2019.07.22 14:07:33.840,-2.224,-11.249,-0.942,13.450,-9.498,-6.889,17.816,9.777,-2.278,-9.051,13.131,6.334,5.265,7.347,8.277,7.955,3.565,-3.063,-1.060
2019.07.22 14:07:33.844,-1.863,-13.589,-2.860,12.668,-9.467,-7.946,20.281,8.898,1.632,-7.552,17.350,3.731,7.679,11.157,10.302,5.236,3.588,-4.184,-2.093
2019.07.22 14:07:33.848,1.539,-13.993,-1.004,15.723,-6.068,-3.430,18.772,6.163,3.652,-3.935,18.724,3.191,11.528,8.617,14.432,2.203,5.717,-2.228,1.252
2019.07.22 14:07:33.852,2.501,-15.560,3.163,20.081,-1.698,3.358,16.704,3.437,4.411,0.968,17.189,3.928,14.195,3.351,16.598,0.960,8.087,0.587,5.644
2019.07.22 14:07:33.856,-4.512,-21.959,6.223,21.376,-0.443,6.919,16.905,2.538,5.124,5.481,14.094,4.808,13.528,1.223,13.639,3.157,8.033,1.434,7.122
2019.07.22 14:07:33.860,-20.070,-34.446,6.027,17.466,-4.473,4.160,18.970,3.562,6.276,8.092,11.005,5.152,9.649,4.857,6.367,8.727,4.857,-0.465,4.505
2019.07.22 14:07:33.864,-39.018,-51.081,3.180,10.217,-12.247,-3.303,19.739,4.792,7.128,8.312,8.660,4.923,4.871,11.348,-0.709,15.486,0.501,-3.254,0.155
2019.07.22 14:07:33.868,-54.632,-68.648,-0.252,3.636,-19.989,-10.844,16.308,4.208,6.450,6.790,6.862,4.350,1.882,15.003,-2.736,20.175,-2.379,-4.308,-2.312
2019.07.22 14:07:33.872,-64.077,-85.371,-3.171,0.309,-24.948,-14.768,8.789,1.228,3.753,4.731,5.165,3.548,1.792,12.479,1.823,20.505,-3.026,-2.728,-1.137
2019.07.22 14:07:33.876,-70.481,-101.936,-6.512,-0.591,-27.497,-15.018,0.431,-2.833,-0.103,3.121,3.583,2.497,3.602,5.734,10.150,16.830,-3.384,-0.147,2.360
