Time,Fp1-CPz,Fp2-CPz,F3-CPz,F4-CPz,F7-CPz,F8-CPz,C3-CPz,C4-CPz,T7-CPz,T8-CPz,P3-CPz,P4-CPz,P7-CPz,P8-CPz,O1-CPz,O2-CPz,Fz-CPz,Cz-CPz,Pz-CPz
2019.07.22 14:05:07.941,-4.507,2.504,0.115,-2.878,-15.649,-5.422,-7.499,-13.451,-12.011,-17.104,-8.350,-12.369,-15.324,-16.006,-9.314,-14.890,1.784,7.793,-3.466
2019.07.22 14:05:07.945,-0.029,7.218,6.768,-2.760,-9.311,-1.071,-4.964,-12.736,-6.769,-14.938,-2.934,-7.989,-11.020,-13.136,-5.305,-1.627,2.530,6.361,-1.110
2019.07.22 14:05:07.949,4.547,11.700,11.946,-1.596,-3.735,3.818,-3.905,-11.185,-2.496,-12.474,1.248,-2.681,-6.392,-9.229,-0.930,11.369,3.340,5.133,1.201
2019.07.22 14:05:07.953,9.633,15.856,15.261,0.723,1.205,8.624,-4.043,-9.007,0.591,-9.802,3.173,1.770,-2.204,-5.185,3.262,19.409,4.950,4.520,2.978
2019.07.22 14:05:07.957,15.252,19.767,17.173,3.879,5.781,13.003,-4.502,-6.353,2.875,-6.484,3.231,4.488,1.177,-1.337,7.071,21.364,7.703,4.380,4.062
2019.07.22 14:05:07.961,20.630,23.217,18.447,7.281,9.765,16.675,-4.327,-3.385,4.782,-2.254,2.796,5.812,3.680,2.272,10.317,19.643,11.175,4.207,4.723
2019.07.22 14:05:07.965,24.402,25.500,19.517,10.234,12.356,19.173,-3.002,-0.397,6.389,2.356,3.232,6.708,5.324,5.407,12.654,17.867,14.266,3.557,5.456
2019.07.22 14:05:07.969,25.405,25.735,20.213,12.085,12.829,19.873,-0.696,2.191,7.497,6.076,5.024,7.811,6.144,7.449,13.720,18.107,15.763,2.357,6.574
2019.07.22 14:05:07.973,23.545,23.539,19.980,12.398,11.373,18.420,1.876,3.989,7.997,7.655,7.585,8.906,6.271,7.693,13.454,19.712,15.002,0.913,7.924
2019.07.22 14:05:07.977,20.065,19.535,18.362,11.140,9.338,15.183,3.856,4.863,8.128,6.751,9.817,9.214,6.035,5.900,12.270,20.312,12.208,-0.364,8.977
2019.07.22 14:05:07.981,16.848,15.211,15.327,8.755,8.515,11.272,4.664,5.017,8.317,4.237,10.945,8.191,5.899,2.614,10.889,17.993,8.266,-1.284,9.270
2019.07.22 14:05:07.985,15.131,12.085,11.218,5.986,9.838,7.956,4.196,4.857,8.716,1.650,11.014,6.136,6.192,-1.054,9.928,12.886,4.095,-2.012,8.874
2019.07.22 14:05:07.989,14.529,10.700,6.420,3.479,12.477,5.838,2.706,4.722,8.845,0.191,10.709,4.092,6.834,-4.012,9.560,7.103,0.089,-2.913,8.453
2019.07.22 14:05:07.993,13.185,10.186,1.125,1.374,14.111,4.462,0.527,4.660,7.757,0.032,10.690,3.124,7.289,-5.710,9.491,3.262,-3.983,-4.242,8.805
2019.07.22 14:05:07.997,9.110,8.814,-4.588,-0.762,12.355,2.744,-2.163,4.432,4.681,0.414,10.973,3.551,6.851,-6.228,9.242,2.815,-8.547,-5.895,10.186
2019.07.22 14:05:08.001,1.834,5.249,-10.435,-3.568,6.443,-0.046,-5.363,3.724,-0.299,0.382,10.833,4.747,5.091,-5.939,8.471,5.318,-13.618,-7.384,11.939
2019.07.22 14:05:08.005,-6.867,-0.364,-15.732,-7.281,-2.056,-3.510,-9.044,2.417,-6.085,-0.444,9.270,5.620,2.122,-5.097,7.084,8.929,-18.521,-8.074,12.806
2019.07.22 14:05:08.009,-13.851,-6.307,-19.603,-11.366,-10.051,-6.274,-12.935,0.701,-11.133,-1.679,5.697,5.394,-1.518,-3.739,5.065,11.562,-22.191,-7.520,11.744
2019.07.22 14:05:08.013,-16.615,-10.362,-21.519,-14.716,-14.810,-7.040,-16.481,-1.029,-14.374,-2.641,0.360,4.087,-5.270,-1.933,2.280,11.849,-23.869,-5.717,8.684
2019.07.22 14:05:08.017,-15.043,-11.350,-21.765,-16.367,-15.609,-5.787,-19.062,-2.436,-15.834,-3.027,-5.755,2.370,-8.900,-0.099,-1.494,9.485,-23.691,-3.140,4.667
2019.07.22 14:05:08.021,-11.573,-10.063,-21.392,-16.249,-14.012,-4.138,-20.334,-3.458,-16.467,-3.224,-11.398,0.993,-12.468,0.992,-6.218,5.061,-22.721,-0.564,1.234
2019.07.22 14:05:08.025,-9.551,-8.861,-21.580,-15.391,-12.570,-4.481,-20.439,-4.343,-17.308,-3.990,-15.537,0.249,-15.907,0.656,-11.179,-0.229,-22.354,1.227,-0.490
2019.07.22 14:05:08.029,-10.907,-10.157,-22.808,-15.367,-12.876,-8.382,-19.904,-5.476,-18.570,-5.804,-17.591,-0.135,-18.590,-1.116,-14.922,-4.841,-23.460,1.714,-0.368
2019.07.22 14:05:08.033,-14.790,-14.799,-24.431,-17.290,-14.369,-15.417,-19.256,-7.106,-19.372,-8.406,-17.383,-0.667,-19.337,-3.405,-15.750,-7.202,-25.852,0.788,0.884
2019.07.22 14:05:08.037,-18.185,-21.452,-25.002,-21.036,-14.735,-23.287,-18.629,-9.158,-18.326,-10.907,-15.019,-1.638,-17.019,-4.712,-12.621,-6.212,-28.390,-1.249,2.358
2019.07.22 14:05:08.041,-18.071,-27.415,-23.180,-25.239,-11.629,-29.188,-17.643,-11.228,-14.590,-12.372,-10.856,-2.911,-11.407,-3.769,-5.888,-1.822,-29.679,-3.815,3.589
2019.07.22 14:05:08.045,-13.562,-30.307,-18.635,-28.093,-4.463,-31.506,-15.686,-12.782,-8.614,-12.433,-5.551,-4.049,-3.642,-0.282,2.670,4.730,-28.904,-6.260,4.687
2019.07.22 14:05:08.049,-6.520,-29.508,-12.380,-28.443,4.996,-30.675,-12.412,-13.430,-2.039,-11.489,-0.024,-4.634,4.128,4.862,10.641,11.350,-26.315,-8.103,5.981
2019.07.22 14:05:08.053,-0.278,-26.424,-6.336,-26.466,13.634,-28.703,-8.107,-13.126,3.209,-10.402,4.791,-4.481,9.811,10.090,16.191,16.095,-23.125,-9.206,7.545
