Time,Fp1-CPz,Fp2-CPz,F3-CPz,F4-CPz,F7-CPz,F8-CPz,C3-CPz,C4-CPz,T7-CPz,T8-CPz,P3-CPz,P4-CPz,P7-CPz,P8-CPz,O1-CPz,O2-CPz,Fz-CPz,Cz-CPz,Pz-CPz
2019.07.22 14:06:20.121,78.734,39.604,72.778,56.434,55.571,53.243,-59.740,-32.010,-12.444,-1.960,-12.216,0.933,14.218,-86.329,27.912,-27.521,51.359,40.121,34.408
2019.07.22 14:06:20.125,45.717,30.494,43.978,32.048,31.344,34.696,-36.295,-21.145,-4.999,-9.441,-5.041,-5.250,6.348,-63.018,9.840,-19.980,28.915,19.812,13.112
2019.07.22 14:06:20.129,7.819,17.298,9.513,2.338,3.496,7.670,-13.152,-4.653,3.793,-13.817,2.567,-9.626,-3.105,-26.058,-10.773,-11.828,1.936,-3.502,-10.177
2019.07.22 14:06:20.133,-14.441,8.227,-11.518,-14.809,-13.534,-10.224,-1.137,8.383,8.739,-12.185,5.655,-9.735,-8.213,2.137,-21.895,-6.326,-13.507,-16.295,-22.386
2019.07.22 14:06:20.137,-13.129,6.829,-11.272,-12.209,-13.861,-10.318,-3.009,12.000,7.551,-5.981,2.975,-5.993,-6.997,7.610,-19.203,-4.659,-10.726,-13.615,-19.067
2019.07.22 14:06:20.141,3.330,10.461,2.951,2.999,-3.221,2.322,-12.626,6.846,1.922,0.244,-2.570,-1.391,-2.361,-7.204,-8.196,-6.053,4.176,-1.371,-6.411
2019.07.22 14:06:20.145,17.994,13.273,15.804,16.200,6.267,14.383,-20.434,-1.256,-4.289,2.157,-6.585,0.706,0.620,-27.620,0.951,-8.708,18.104,9.261,4.453
2019.07.22 14:06:20.149,18.356,11.104,15.901,16.757,5.348,15.145,-20.711,-6.190,-8.064,-1.453,-6.635,-1.063,-1.226,-38.777,1.380,-10.843,21.042,10.523,6.014
2019.07.22 14:06:20.153,4.593,4.473,3.463,5.203,-6.084,4.141,-14.994,-5.923,-9.020,-8.227,-3.786,-5.297,-6.902,-36.015,-5.884,-11.408,12.622,3.149,-0.809
2019.07.22 14:06:20.157,-12.385,-2.331,-11.582,-8.751,-19.976,-9.774,-9.493,-3.140,-8.794,-14.249,-1.203,-9.126,-12.343,-26.129,-13.896,-10.372,0.776,-5.570,-8.795
2019.07.22 14:06:20.161,-20.505,-4.945,-18.515,-14.861,-26.941,-16.296,-9.187,-2.128,-8.924,-16.754,-1.233,-10.403,-13.709,-19.774,-16.012,-8.601,-5.568,-8.436,-11.006
2019.07.22 14:06:20.165,-15.677,-2.244,-14.110,-10.261,-23.250,-11.689,-13.684,-4.807,-9.248,-15.511,-3.452,-9.039,-10.152,-22.106,-10.991,-7.313,-3.425,-4.036,-6.183
2019.07.22 14:06:20.169,-3.671,3.247,-3.968,-0.585,-12.773,-0.708,-18.042,-9.237,-8.180,-12.154,-5.204,-6.591,-3.994,-29.263,-3.071,-7.288,2.964,2.877,1.127
