Time,Fp1-CPz,Fp2-CPz,F3-CPz,F4-CPz,F7-CPz,F8-CPz,C3-CPz,C4-CPz,T7-CPz,T8-CPz,P3-CPz,P4-CPz,P7-CPz,P8-CPz,O1-CPz,O2-CPz,Fz-CPz,Cz-CPz,Pz-CPz
2019.07.22 14:03:48.575,-70.724,-51.551,-69.446,-66.981,-43.092,-80.449,37.225,12.439,33.030,-26.452,40.082,4.252,-20.311,43.281,-37.704,23.069,-57.386,-49.582,-43.331
2019.07.22 14:03:48.579,-49.017,-31.744,-56.396,-49.036,-34.239,-67.946,39.274,11.781,28.578,-23.037,32.617,4.624,-14.398,35.351,-31.783,18.001,-43.834,-38.059,-30.936
2019.07.22 14:03:48.583,-14.638,-11.494,-27.727,-17.557,-15.427,-37.288,28.422,4.492,17.482,-13.835,14.840,3.751,-3.383,11.198,-15.403,5.197,-18.617,-14.286,-8.216
2019.07.22 14:03:48.587,13.556,0.748,-0.261,9.280,1.837,-7.224,13.245,-4.094,6.668,-4.687,-2.769,1.863,4.855,-14.141,-0.287,-7.877,3.640,7.476,10.838
2019.07.22 14:03:48.591,21.962,1.663,11.928,17.845,8.148,6.071,3.942,-8.591,2.289,-0.503,-10.741,-0.088,5.522,-26.324,4.357,-13.660,11.623,15.961,16.062
2019.07.22 14:03:48.595,10.874,-5.301,6.594,7.796,2.563,-0.556,5.591,-7.440,5.542,-2.283,-6.800,-1.339,-0.127,-21.478,-2.139,-9.949,4.690,10.203,7.493
2019.07.22 14:03:48.599,-7.246,-12.965,-6.671,-9.103,-7.614,-16.800,15.472,-3.608,12.311,-7.096,3.409,-1.985,-6.491,-7.749,-12.577,-1.264,-7.806,-1.080,-5.986
2019.07.22 14:03:48.603,-17.901,-15.651,-14.816,-18.599,-13.043,-28.036,25.936,-1.807,16.658,-10.753,11.181,-2.860,-8.390,2.007,-18.234,4.763,-14.218,-6.988,-14.106
2019.07.22 14:03:48.607,-14.978,-12.688,-11.194,-14.311,-9.416,-26.414,30.241,-4.620,15.249,-10.977,11.172,-4.724,-5.002,0.217,-15.607,3.090,-9.177,-2.658,-12.704
2019.07.22 14:03:48.611,-3.716,-7.850,0.572,-1.146,0.014,-15.470,26.880,-10.627,9.347,-8.680,4.546,-7.480,-0.015,-10.475,-8.365,-5.273,3.381,8.027,-5.674
2019.07.22 14:03:48.615,5.198,-5.659,10.906,10.052,7.946,-5.524,19.547,-15.795,3.123,-6.638,-3.035,-10.075,1.801,-20.584,-3.475,-14.412,14.387,16.676,-0.541
2019.07.22 14:03:48.619,4.881,-7.730,12.524,11.587,9.210,-4.510,13.391,-16.744,0.008,-6.892,-6.414,-11.176,-1.447,-21.991,-5.137,-18.089,17.084,17.524,-1.862
2019.07.22 14:03:48.623,-2.743,-11.968,5.736,4.360,4.488,-11.941,10.906,-13.159,0.164,-9.079,-4.723,-10.085,-7.495,-14.066,-11.591,-14.121,11.714,11.554,-7.903
2019.07.22 14:03:48.627,-9.667,-14.846,-2.957,-4.112,-1.087,-20.419,10.638,-7.556,0.945,-10.914,-1.228,-7.177,-12.136,-3.160,-17.118,-5.432,4.181,4.724,-12.861
2019.07.22 14:03:48.631,-9.216,-14.531,-6.983,-6.619,-2.743,-22.560,9.312,-2.950,-0.374,-10.259,0.086,-3.591,-12.789,3.340,-17.107,2.573,0.525,2.435,-12.197
2019.07.22 14:03:48.635,-1.604,-12.168,-4.980,-1.984,0.053,-17.063,5.251,-0.552,-4.069,-6.967,-2.013,-0.475,-10.349,2.954,-11.755,5.967,2.118,5.190,-6.363
2019.07.22 14:03:48.639,6.787,-10.462,-1.026,4.893,3.770,-9.022,0.107,0.632,-7.755,-3.025,-5.303,1.605,-7.911,-0.776,-5.434,4.599,5.352,8.885,0.020
2019.07.22 14:03:48.643,9.255,-11.042,-0.259,8.042,4.468,-4.864,-2.453,2.287,-8.478,-0.995,-6.406,2.723,-7.721,-2.322,-2.633,1.417,5.507,8.968,2.383
2019.07.22 14:03:48.647,4.411,-13.008,-4.150,5.715,1.449,-6.750,0.105,4.931,-5.233,-2.100,-3.833,3.217,-9.145,0.669,-4.177,-0.158,1.104,4.532,-0.004
2019.07.22 14:03:48.651,-3.103,-13.863,-9.541,1.446,-2.304,-11.260,6.843,7.446,0.196,-5.449,0.871,3.313,-9.398,5.631,-6.906,1.388,-4.997,-1.153,-3.853
2019.07.22 14:03:48.655,-7.034,-11.874,-11.918,0.363,-3.072,-13.072,13.764,8.260,4.650,-8.887,4.645,3.065,-6.277,7.922,-6.817,5.101,-8.341,-3.805,-5.069
2019.07.22 14:03:48.659,-4.920,-7.706,-9.649,4.346,0.085,-9.984,16.681,6.946,5.950,-10.648,5.559,2.553,-0.395,5.328,-2.702,8.715,-6.809,-1.935,-2.330
2019.07.22 14:03:48.663,0.200,-3.923,-5.353,10.352,4.410,-4.750,14.323,4.702,4.278,-10.466,4.248,2.055,5.097,0.089,2.913,10.312,-2.272,2.078,2.084
2019.07.22 14:03:48.667,2.954,-2.841,-3.354,13.190,5.898,-2.324,9.303,3.287,1.614,-9.416,3.066,1.959,7.044,-3.192,6.185,9.314,1.214,4.354,4.670
2019.07.22 14:03:48.671,0.602,-4.629,-5.718,10.102,2.862,-5.230,6.150,3.444,-0.046,-8.809,3.897,2.503,4.869,-1.665,5.425,6.511,0.871,3.009,3.941
2019.07.22 14:03:48.675,-4.621,-7.289,-10.483,3.098,-2.542,-11.268,7.867,4.300,-0.125,-9.138,6.597,3.618,0.967,3.411,2.496,3.526,-2.752,-0.382,1.623
2019.07.22 14:03:48.679,-7.681,-8.429,-13.545,-2.848,-6.126,-15.497,13.541,4.268,0.524,-9.870,9.324,5.031,-1.371,8.058,1.004,2.165,-6.692,-2.495,0.877
2019.07.22 14:03:48.683,-5.299,-7.257,-12.362,-4.000,-5.175,-14.573,18.848,2.596,0.758,-10.069,10.257,6.529,-0.676,9.248,2.985,3.733,-8.356,-1.395,3.328
2019.07.22 14:03:48.687,1.186,-5.109,-8.104,-0.761,-0.616,-9.557,19.258,0.112,0.255,-9.214,9.108,8.051,1.676,7.441,7.061,8.316,-7.572,1.797,7.587
2019.07.22 14:03:48.691,7.058,-4.128,-4.418,3.049,3.944,-4.827,13.788,-1.529,-0.371,-7.540,7.163,9.497,2.904,5.761,9.639,14.312,-6.239,4.135,10.504
2019.07.22 14:03:48.695,8.311,-5.348,-4.059,3.676,5.335,-4.199,6.676,-1.383,-0.405,-5.757,5.984,10.433,1.386,6.729,8.015,18.793,-6.174,3.717,9.899
2019.07.22 14:03:48.699,4.933,-7.830,-6.491,0.511,3.365,-7.739,5.584,-0.107,0.109,-4.485,6.053,10.088,-1.950,9.673,2.660,18.917,-7.291,1.506,6.311
2019.07.22 14:03:48.703,0.619,-9.534,-8.542,-3.762,0.648,-11.935,17.210,0.634,0.326,-3.887,6.519,7.808,-4.547,11.226,-3.242,13.752,-7.788,0.443,2.321
2019.07.22 14:03:48.707,-0.642,-9.107,-7.419,-5.826,0.050,-12.884,42.939,-0.267,-0.595,-3.697,6.156,3.719,-4.540,8.468,-6.467,5.200,-6.032,2.705,0.229
2019.07.22 14:03:48.711,1.982,-7.026,-3.304,-4.654,2.095,-9.585,77.285,-2.232,-2.616,-3.477,4.554,-0.981,-2.374,1.851,-6.248,-2.921,-2.311,7.602,0.246
2019.07.22 14:03:48.715,5.627,-5.171,0.797,-2.178,4.580,-4.561,110.258,-3.362,-4.685,-2.854,2.476,-4.475,-0.287,-4.772,-4.500,-7.241,1.204,11.998,0.746
2019.07.22 14:03:48.719,6.420,-5.252,1.747,-1.303,4.663,-1.482,132.364,-2.001,-5.471,-1.617,1.144,-5.336,-0.198,-7.089,-3.772,-7.005,2.277,12.890,0.148
2019.07.22 14:03:48.723,2.944,-7.433,-0.904,-3.210,1.522,-2.038,139.324,1.863,-4.312,0.254,1.204,-3.393,-1.915,-3.737,-4.881,-4.321,0.550,9.866,-1.436
2019.07.22 14:03:48.727,-2.489,-10.211,-4.480,-6.334,-2.730,-4.747,133.743,6.571,-1.591,2.559,2.302,0.195,-3.288,2.741,-6.311,-2.243,-2.095,5.345,-2.335
2019.07.22 14:03:48.731,-5.673,-11.551,-5.433,-7.775,-4.598,-6.488,122.911,10.140,1.710,4.894,3.569,3.766,-2.152,8.109,-5.785,-2.171,-3.048,2.469,-1.029
2019.07.22 14:03:48.735,-3.770,-10.267,-2.303,-5.762,-1.898,-5.193,114.298,11.780,4.804,6.786,4.473,6.254,1.686,9.839,-2.457,-2.736,-1.041,2.544,2.220
2019.07.22 14:03:48.739,2.726,-6.635,3.168,-1.017,4.656,-1.329,111.635,12.264,7.520,7.947,5.217,7.754,6.183,8.790,2.271,-1.148,2.966,4.186,5.393
2019.07.22 14:03:48.743,10.710,-1.952,7.623,4.001,12.115,2.889,113.859,12.889,10.057,8.450,6.381,9.127,8.750,7.918,5.975,4.103,6.709,4.795,6.392
2019.07.22 14:03:48.747,16.923,2.394,8.887,7.081,17.490,5.526,117.147,14.022,12.408,8.639,8.206,11.022,8.398,9.344,7.255,11.500,8.440,2.909,4.851
2019.07.22 14:03:48.751,19.995,5.570,7.579,7.710,19.614,6.292,118.221,14.627,14.065,8.781,10.258,13.148,6.452,12.451,6.732,17.305,8.099,-0.596,2.429
2019.07.22 14:03:48.755,20.575,7.345,6.272,6.890,19.339,6.174,116.516,13.207,14.321,8.756,11.754,14.390,5.239,14.572,6.159,18.359,6.978,-3.413,1.340
2019.07.22 14:03:48.759,19.953,7.815,7.118,5.824,18.243,6.034,113.925,9.351,12.880,8.089,12.229,13.701,5.937,13.477,6.568,14.558,6.408,-3.850,2.461
2019.07.22 14:03:48.763,18.728,7.226,10.042,4.850,17.203,5.677,112.736,4.443,10.214,6.353,11.915,11.002,7.519,9.331,7.233,8.904,6.699,-2.188,4.702
2019.07.22 14:03:48.767,16.694,6.008,12.967,3.540,16.007,4.259,113.645,0.820,7.322,3.632,11.496,7.367,7.719,4.422,6.423,5.025,7.164,-0.248,6.144
2019.07.22 14:03:48.771,13.732,4.752,13.640,1.605,14.068,1.442,115.347,0.013,5.069,0.597,11.520,4.304,5.162,1.053,3.240,4.231,6.988,0.269,5.847
2019.07.22 14:03:48.775,10.500,3.907,11.373,-0.485,11.303,-2.001,115.813,1.531,3.656,-1.927,11.992,2.718,0.770,-0.393,-1.207,4.614,5.993,-0.869,4.660
2019.07.22 14:03:48.779,8.080,3.343,7.258,-1.875,8.274,-4.835,113.981,3.230,2.616,-3.584,12.480,2.357,-2.850,-1.479,-4.421,2.969,4.624,-2.508,4.311
2019.07.22 14:03:48.783,6.922,2.243,2.919,-2.300,5.541,-6.602,110.413,2.981,1.276,-4.764,12.541,2.160,-3.538,-3.919,-4.495,-2.110,3.317,-3.369,5.670
2019.07.22 14:03:48.787,6.243,-0.394,-0.890,-2.596,3.020,-8.168,106.511,0.265,-0.730,-6.265,12.020,1.200,-1.430,-7.738,-1.747,-8.654,1.982,-3.198,7.808
2019.07.22 14:03:48.791,4.617,-4.919,-4.551,-4.120,0.051,-10.936,103.148,-3.552,-3.289,-8.604,10.977,-0.548,1.032,-11.133,1.398,-12.711,0.147,-2.792,8.741
2019.07.22 14:03:48.795,1.296,-10.555,-8.659,-7.564,-3.845,-15.421,99.984,-6.435,-6.029,-11.560,9.412,-2.203,0.977,-12.164,2.188,-11.627,-2.430,-2.989,7.196
2019.07.22 14:03:48.799,-3.005,-15.758,-12.953,-12.253,-8.305,-20.570,96.030,-7.280,-8.653,-14.359,7.160,-2.687,-2.695,-10.685,-0.470,-6.443,-5.357,-3.695,3.791
2019.07.22 14:03:48.803,-6.653,-19.222,-16.206,-16.637,-12.254,-24.552,90.841,-6.594,-11.082,-16.327,4.126,-1.569,-8.554,-8.689,-5.397,-1.348,-7.854,-3.907,0.568
2019.07.22 14:03:48.807,-8.542,-20.730,-17.186,-19.529,-14.739,-26.321,85.190,-5.759,-13.359,-17.418,0.630,0.623,-13.839,-8.660,-10.243,-0.478,-9.404,-2.667,-0.734
2019.07.22 14:03:48.811,-9.066,-21.104,-15.733,-20.936,-15.692,-26.476,80.566,-5.637,-15.481,-18.128,-2.561,2.826,-16.527,-11.347,-13.231,-4.642,-10.160,-0.026,-0.101
2019.07.22 14:03:48.815,-9.656,-21.284,-12.941,-21.723,-15.880,-26.567,77.955,-5.770,-17.361,-18.873,-4.624,4.227,-16.570,-14.917,-14.089,-10.587,-10.673,2.909,0.884
